ymd,last_date,event_most_recent,v_max,v_min,transaction_count,med_delta_t,cum_time,recency
2022-04-22,2022-04-22 23:59:26,2022-04-22 23:09:59,198.0,146.33,275,43.333333333333336,16500s,49.45
2022-04-23,2022-04-23 23:59:34,2022-04-23 23:49:31,197.98,160.64,330,1.0000000000000002,19800s,10.05
2022-04-24,2022-04-24 23:59:42,2022-04-24 23:55:41,198.0,156.85,539,1.0000000000000002,32340s,4.0166666666666675
2022-04-25,2022-04-25 23:59:10,2022-04-25 23:59:10,198.0,164.92,422,1.0000000000000002,25320s,0.0
2022-04-26,2022-04-26 23:59:35,2022-04-26 23:51:33,197.99,164.51,563,1.0000000000000002,33780s,8.033333333333335
2022-04-27,2022-04-27 16:56:48,2022-04-27 16:36:41,197.96,186.95,148,1.0000000000000002,8880s,20.116666666666667
2022-03-25,2022-03-25 23:59:43,2022-03-25 09:52:51,197.43,195.5,3,1.0000000000000002,180s,846.8666666666667
2022-03-26,2022-03-26 23:59:50,2022-03-26 18:50:53,195.95,188.68,8,1.0000000000000002,480s,308.95
2022-03-27,2022-03-27 23:59:18,2022-03-27 19:28:23,197.85,192.12,24,1.0000000000000002,1440s,270.9166666666667
2022-03-28,2022-03-28 23:59:46,2022-03-28 11:57:59,197.89,166.74,184,1.0000000000000002,11040s,721.7833333333333
2022-03-29,2022-03-29 23:59:52,2022-03-29 07:01:57,195.65,195.65,1,1.0166666666666668,60s,1017.9166666666667
2022-03-30,2022-03-30 23:59:01,2022-03-30 16:36:36,197.97,168.05,28,1.0000000000000002,1680s,442.4166666666667
2022-03-31,2022-03-31 23:59:26,2022-03-31 09:47:05,197.9,197.54,2,1.0000000000000002,120s,852.35
2022-04-01,2022-04-01 23:59:50,2022-04-01 10:44:14,197.78,191.34,7,1.0000000000000002,420s,795.6
2022-04-04,2022-04-04 23:59:53,2022-04-04 17:11:27,197.97,189.9,32,1.0000000000000002,1920s,408.43333333333334
2022-04-05,2022-04-05 15:12:17,2022-04-05 15:12:17,197.88,159.78,77,1.0000000000000002,4620s,0.0
2022-03-29,2022-03-29 23:59:08,2022-03-29 20:30:15,197.98,176.02,227,1.0000000000000002,13620s,208.88333333333333
2022-03-30,2022-03-30 23:59:03,2022-03-30 19:07:59,197.73,194.99,22,1.0000000000000002,1320s,291.06666666666666
2022-03-31,2022-03-31 23:59:59,2022-03-31 19:10:05,197.98,185.6,232,1.0000000000000002,13920s,289.9
2022-04-01,2022-04-01 23:59:39,2022-04-01 08:44:52,197.91,188.95,30,1.0000000000000002,1800s,914.7833333333333
2022-04-02,2022-04-02 23:59:38,2022-04-02 10:54:32,197.8,196.35,2,1.0083333333333335,120s,785.1
2022-04-03,2022-04-03 23:59:32,2022-04-03 17:58:09,197.92,195.16,6,1.0000000000000002,360s,361.3833333333333
2022-04-04,2022-04-04 23:59:13,2022-04-04 06:34:44,197.0,193.56,3,1.0000000000000002,180s,1044.4833333333333
2022-04-05,2022-04-05 23:59:08,2022-04-05 19:54:09,197.93,173.75,282,1.0000000000000002,16920s,244.98333333333338
2022-04-06,2022-04-06 23:59:12,2022-04-06 21:27:38,197.99,181.0,148,1.0000000000000002,8880s,151.56666666666666
2022-04-07,2022-04-07 23:59:37,2022-04-07 18:10:20,197.99,179.07,377,1.0000000000000002,22620s,349.28333333333336
2022-04-08,2022-04-08 23:59:29,2022-04-08 10:59:01,197.96,191.23,11,1.0000000000000002,660s,780.4666666666667
2022-04-09,2022-04-09 23:59:29,2022-04-09 19:36:34,197.97,171.45,340,1.0000000000000002,20400s,262.9166666666667
2022-04-10,2022-04-10 23:59:15,2022-04-10 19:56:16,198.0,176.03,305,1.0000000000000002,18300s,242.98333333333332
2022-04-11,2022-04-11 23:59:36,2022-04-11 19:51:48,197.9,182.39,206,1.0000000000000002,12360s,247.80000000000004
2022-04-12,2022-04-12 23:59:50,2022-04-12 22:43:33,198.0,182.88,260,1.0000000000000002,15600s,76.28333333333333
2022-04-13,2022-04-13 14:29:22,2022-04-13 09:54:06,197.96,186.65,5,1.0000000000000002,300s,275.26666666666665
2022-04-12,2022-04-12 23:59:42,2022-04-12 23:12:33,197.99,160.01,387,1.0000000000000002,23220s,47.15
